Name,Annual Growth Rate,Monthly Growth Rate,Weekly Growth Rate
EVTV,-99.32,44.17,17.18
HYMTF,638.47,13.68,6.49
FUJHY,357.12,12.34,2.81
MZDAY,-8.69,10.05,0.07
ISUZY,37.44,6.92,1.45
VLVLY,255.42,4.87,1.6
MAHMF,6110.93,1.44,2.46
NSANY,5394.7,0.17,0.72
XPEV,0.0,0.0,0.0
SOLO,29.52,-0.44,2.23
NKLA,76.5,-0.93,-1.19
MBGYY,-17.45,-0.96,0.74
TSLA,33.66,-2.34,1.09
RIVN,-29.73,-2.35,1.93
GELYF,731.56,-3.02,-0.2
BMWYY,134.79,-4.18,0.15
BYDDF,1118.1,-9.98,-2.47
NIO,-92.65,-12.75,-0.02
STLA,5031.94,-12.81,-2.12
HMC,2416.17,-13.36,-3.17
PSNY,183.2,-14.03,-1.94
CENN,-100.0,-14.07,0.36
PII,-80.48,-14.37,-1.99
LI,74.87,-14.39,-0.39
GWLLY,53.34,-14.89,-1.86
FUV,-99.31,-14.99,-5.15
ARGGY,-97.95,-15.19,-3.67
DNFGF,-1.96,-17.58,-2.43
HYZN,-93.66,-18.0,-0.57
LCID,-66.98,-23.18,0.87
TM,2718.37,-23.66,-10.53
RNLSY,-92.23,-24.18,-2.11
RACE,-87.0,-24.95,-3.72
new_data,-21.71,-26.17,-3.83
GM,-29.79,-29.87,-9.32
GOEV,-98.35,-31.5,-7.9
KNDI,-27.99,-31.72,-8.86
F,165.69,-33.18,-8.64
VWAGY,-54.18,-35.61,-5.85
MULN,-100.0,-39.48,-11.85
FSR,-91.83,-44.4,-8.88
FFIE,-99.98,-50.89,-13.21
